id,学部,类型,名称,经度,纬度,别名,高德地址,需重点核对
poi_001,文理学部,教学科研,梅园综合楼,114.366725,30.536725,四方楼,梅园二路与人文路交叉口西60米,
poi_002,文理学部,教学科研,武大动力与机械学院机械工程系,114.363559,30.544863,动力与机械学院机械工程系 / 工9教 / 工学部9号教学楼 / 工学部9教,珞珈山街道八一路299号武汉大学,
poi_003,文理学部,教学科研,武昌区防震减灾和信息综合楼,114.354075,30.538625,,洪山侧路52号银海山庄,
poi_004,文理学部,教学科研,武汉大学万林艺术博物馆,114.363056,30.536666,万林博物馆 / 万林艺术博物馆 / 万林艺术馆 / 珞珈咖啡 / 艺术馆,珞珈山街街道八一路299号武汉大学,
poi_005,文理学部,教学科研,武汉大学人工智能学院,114.35821,30.538152,人工智能学院 / 人工智能研究院 / 武汉大学人工智能研究院,桂园路与桂园二路交叉口西南180米,
poi_006,文理学部,教学科研,武汉大学人文社会科学研究院,114.366763,30.535568,人文社会科学研究院,八一路299号武汉大学人文社科楼二楼,
poi_007,文理学部,教学科研,武汉大学刘少奇研究中心,114.367762,30.538028,刘少奇研究中心 / 政治与公共管理学院 / 武汉大学政治与公共管理学院 / 武汉大学政治与公共管理学院思想政治教育系 / 武汉大学政治与公共管理学院政治学与国际关系学系 / 武汉大学政治与公共管理学院青春健康教育中心,珞珈山街道八一路299号武汉大学,
poi_008,文理学部,教学科研,武汉大学力学实验教学中心,114.360471,30.544023,力学实验教学中心 / 武汉大学土木建筑工程学院工程力学系,八一路299号武汉大学工学部内,
poi_009,文理学部,教学科研,武汉大学动力与机械学院智慧能源研究中心,114.358927,30.542,,东湖南路8号,
poi_010,文理学部,教学科研,武汉大学动力与机械学院自主制作车间,114.362723,30.54118,,珞珈山街道八一路299号武汉大学,
poi_011,文理学部,教学科研,武汉大学化学与分子科学学院西区,114.359198,30.536336,化学与分子科学学院 / 化学与分子科学学院西区 / 聚英楼,八一路299号珞珈山,
poi_012,文理学部,教学科研,武汉大学化学实验教学中心,114.359388,30.536741,化学实验教学中心,珞珈山街道八一路299号武汉大学,
poi_013,文理学部,教学科研,武汉大学历史学院,114.35926,30.535446,历史学院,珞珈山街道八一路299号武汉大学,
poi_014,文理学部,教学科研,武汉大学国际教育学院(桂园楼),114.360366,30.53899,国际教育学院(桂园楼) / 文理学部第六教学楼,珞珈山路16号武汉大学,
poi_015,文理学部,教学科研,武汉大学图书馆(总馆),114.362998,30.535265,图书馆 / 图书馆(总馆) / 总图 / 总图书馆 / 文献中心 / 文理图书馆,武汉大学文理学部图书馆，提供借阅和自习服务。,
poi_016,文理学部,教学科研,武汉大学图书馆工学分馆,114.361465,30.543853,图书馆工学分馆 / 工图 / 工学分馆 / 工学部图 / 工学部图书馆,武汉大学工学部内,
poi_017,文理学部,教学科研,武汉大学土木建筑工程学院工程结构实验中心,114.360475,30.544925,,珞珈山街道八一路299号武汉大学,
poi_018,文理学部,教学科研,武汉大学土木建筑工程学院结构楼,114.361366,30.544399,土木建筑工程学院 / 土木建筑工程学院结构楼 / 结构楼,珞珈山街道八一路299号武汉大学,
poi_019,文理学部,教学科研,武汉大学城市设计学院,114.364824,30.541411,城市设计学院 / 城市设计学院教学楼,珞珈山16号武汉大学,
poi_020,文理学部,教学科研,武汉大学大学生创业俱乐部,114.359432,30.528499,大学生创业俱乐部,珞瑜路129号武汉大学信息学部,
poi_021,文理学部,教学科研,武汉大学大学生工程训练与创新实践中心,114.361691,30.541631,大创中心 / 武汉大学大学生工程训练与创新实践中心(东2门),珞珈山街道八一路299号武汉大学,
poi_022,文理学部,教学科研,武汉大学实验室与设备管理处,114.366634,30.540375,实验室与设备管理处,樱花大道武汉大学文理学部老理学院东北楼二楼,
poi_023,文理学部,教学科研,武汉大学广东省电力设计研究院智能电网研究中心,114.362921,30.544034,工学部3号教学楼,八一路299号武汉大学内,
poi_024,文理学部,教学科研,武汉大学当代楼,114.359931,30.532993,当代楼 / 高等研究院大楼,汉林西路与育才路交叉口东南100米,
poi_025,文理学部,教学科研,武汉大学教1楼,114.365366,30.537207,教1楼 / 教一 / 教一楼 / 文理学部教1楼 / 文理学部教一,文理学部教一楼（高德核实）,
poi_026,文理学部,教学科研,武汉大学教学楼9号楼,114.363238,30.54466,教学楼9号楼,八一路299号武汉大学内,
poi_027,文理学部,教学科研,武汉大学教育科学学院,114.360243,30.542869,国立农学院 / 国立武汉大学农学院 / 教育科学学院 / 武汉大学集成电路学院 / 集成电路学院,八一路299号武汉大学工学部内,
poi_028,文理学部,教学科研,武汉大学数学与统计学院,114.357075,30.534775,数学与统计学院 / 雷军科技楼,八一路299号武汉大学雷军科技楼1-6层,
poi_029,文理学部,教学科研,武汉大学文学院,114.358883,30.534736,哲学学院 / 振华楼 / 文学院 / 武汉大学哲学学院,武汉大学振华楼,
poi_030,文理学部,教学科研,武汉大学文理学部教3楼,114.360183,30.5394,三教 / 教三 / 教三楼 / 文理学部教3楼 / 文理学部教三 / 文理学部第三教学楼,文理学部教三楼（高德核实）,
