id,query,category,status,mode,recommended_length_m,shortest_length_m,overlap_rate,slope_avg_recommended,scenery_avg_recommended,slope_avg_shortest,scenery_avg_shortest,duration_min,length_capped,filter_status,note
L1_001,从珞珈门到樱顶,simple_path,ok,walk,998.9,998.9,1.0,2.038,3.519,2.038,3.519,13.3,False,shortest_baseline,
L1_002,从梅园去图书馆,simple_path,ok,walk,266.1,266.1,1.0,3.143,3.032,3.143,3.032,3.5,False,shortest_baseline,
L1_003,我想避开陡坡，从行政楼到枫园,single_slope,ok,walk,681.0,681.0,1.0,2.17,3.448,2.17,3.448,9.1,False,shortest_baseline,
L1_004,从总图书馆到凌波门，走风景好的路线,single_scenery,ok,walk,1398.4,1398.4,1.0,2.162,3.736,2.162,3.736,18.6,False,shortest_baseline,
L1_005,哪条路去樱顶最近,single_distance,skipped,,,,,,,,,,,,起终点缺失
L1_006,从教五到信息学部第一教学楼,simple_path,ok,walk,1450.2,1450.2,1.0,2.318,3.034,2.318,3.034,19.3,False,shortest_baseline,
L1_007,从牌坊骑车到樱顶,mode_bike,ok,bike,998.9,998.9,1.0,2.038,3.519,2.038,3.519,4.3,False,shortest_baseline,
L1_008,开车从信息学部到文理学部教五,mode_drive,ok,drive,1226.4,1226.4,1.0,2.458,3.096,2.458,3.096,2.9,False,shortest_baseline,
L1_009,樱顶在哪里,poi_query,skipped,,,,,,,,,,,,task_type=poi_query
L1_010,你能做什么,help,skipped,,,,,,,,,,,,task_type=help
L1_011,今天天气怎么样,chat,skipped,,,,,,,,,,,,task_type=chat
L1_012,从老斋舍到宋卿体育馆，避开爬坡，走风景好的路,multi_slope_scenery,ok,walk,349.1,349.1,1.0,2.71,3.146,2.71,3.146,4.7,False,shortest_baseline,
L1_013,从珞珈门到樱顶，走最短且避开陡坡的路,multi_distance_slope,ok,walk,998.9,998.9,1.0,2.038,3.519,2.038,3.519,13.3,False,shortest_baseline,
L1_014,从珞珈门到樱花大道,edge_alias,ok,walk,840.6,840.6,1.0,1.921,3.436,1.921,3.436,11.2,False,shortest_baseline,
L1_015,从珞珈们到樱顶,edge_typo,ok,walk,998.9,998.9,1.0,2.038,3.519,2.038,3.519,13.3,False,shortest_baseline,
L1_016,我想从洪波门走到珞瑜门,mode_walk_explicit,ok,walk,2943.8,2943.8,1.0,2.513,3.345,2.513,3.345,39.3,False,shortest_baseline,
L1_017,从珞珈门到樱顶，换条避开陡坡的路,multi_turn_continuation,ok,walk,998.9,998.9,1.0,2.038,3.519,2.038,3.519,13.3,False,shortest_baseline,
L1_018,从工学部集贸市场到梅园,simple_path,ok,walk,1088.9,1088.9,1.0,2.839,3.404,2.839,3.404,14.5,False,shortest_baseline,
L1_019,万林艺术馆怎么去,poi_query,skipped,,,,,,,,,,,,task_type=poi_query
L1_020,从桂园到月湖怎么走,simple_path,ok,walk,1434.7,1434.7,1.0,2.383,4.27,2.383,4.27,19.1,False,shortest_baseline,
