id,query,category,pred_task_type,gold_task_type,pred_start,gold_start,pred_end,gold_end,pred_constraints,gold_constraints,pred_weights,gold_weights,pred_mode,gold_mode,task_type_match
L1_001,从珞珈门到樱顶,simple_path,path_planning,path_planning,珞珈门,珞珈门,武汉大学老斋舍,樱顶,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_002,从梅园去图书馆,simple_path,path_planning,path_planning,梅园,梅园,武汉大学图书馆(总馆),图书馆,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_003,我想避开陡坡，从行政楼到枫园,single_slope,path_planning,path_planning,武汉大学早期建筑工学院,行政楼,枫园,枫园,"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.2, ""slope"": 0.6, ""scenery"": 0.2}",walk,walk,1
L1_004,从总图书馆到凌波门，走风景好的路线,single_scenery,path_planning,path_planning,武汉大学图书馆(总馆),总图书馆,凌波门,凌波门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.2, ""slope"": 0.1, ""scenery"": 0.7}",walk,walk,1
L1_005,哪条路去樱顶最近,single_distance,path_planning,path_planning,哪条路,,武汉大学老斋舍,樱顶,"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L1_006,从教五到信息学部第一教学楼,simple_path,path_planning,path_planning,武汉大学第五教学楼,教五,武汉大学信息学部1号教学楼,信息学部第一教学楼,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_007,从牌坊骑车到樱顶,mode_bike,path_planning,path_planning,珞珈门,牌坊,武汉大学老斋舍,樱顶,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,bike,bike,1
L1_008,开车从信息学部到文理学部教五,mode_drive,path_planning,path_planning,信息学部,信息学部,武汉大学第五教学楼,教五,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,drive,drive,1
L1_009,樱顶在哪里,poi_query,poi_query,poi_query,武汉大学老斋舍,樱顶,,,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_010,你能做什么,help,help,help,,,,,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
