id,query,category,status,mode,recommended_length_m,shortest_length_m,overlap_rate,slope_avg_recommended,scenery_avg_recommended,slope_avg_shortest,scenery_avg_shortest,duration_min,length_capped,filter_status,note
L1_001,从煎百味(信息学部店)到武汉大学化学实验教学中心的步行路线,L1_simple,ok,walk,1679.8,1356.1,0.45,1.733,3.164,2.45,3.153,22.4,False,no_outside,
L1_002,武汉大学电力广场出发去重庆小面(弘毅大道店),L1_simple,ok,walk,905.2,665.7,0.25,1.971,3.004,2.131,3.0,12.1,False,no_outside,
L1_003,麻烦问下洪波门去珞珈门的路,L1_simple,ok,walk,2262.7,1979.3,0.1154,2.063,3.591,2.047,3.327,30.2,True,no_outside,
L1_004,走着去，武汉大学高等研究院出发去三津汤包(枫园店),L1_simple,ok,walk,1551.0,1498.7,0.5,2.118,3.865,2.361,3.657,20.7,False,no_outside,
L1_005,帮我规划一条重庆小面(弘毅大道店)到蔡明纬(工学部店)的路线,L1_simple,ok,walk,431.7,248.9,0.3,2.083,3.0,2.388,3.0,5.8,False,no_outside,
L1_006,达美乐比萨(枫园店)出发去武汉大学樱园,L1_simple,ok,walk,1315.8,1179.3,0.3571,2.382,4.004,2.42,3.672,17.5,False,no_outside,
L1_007,从凌波门东湖观景点到Greenhouse花房咖啡,L1_simple,ok,walk,2047.8,1849.1,0.4038,2.041,4.006,2.036,3.606,27.3,True,no_outside,
L1_008,走着去，武汉大学枫园阅览室到武汉大学经济与管理学院咋走,L1_simple,ok,walk,272.6,272.6,1.0,2.601,3.0,2.601,3.0,3.6,False,no_outside,
L1_009,我想从瑞幸咖啡(信息学部店)走到武汉大学物理学院报告厅,L1_simple,ok,walk,1396.7,1228.9,0.4146,1.795,3.024,2.173,3.025,18.6,False,no_outside,
L1_010,从恩施炕小土豆(武大店)到武汉大学教职工活动中心的步行路线,L1_simple,ok,walk,2104.6,1330.1,0.1667,2.261,3.521,2.3,3.492,28.1,True,no_outside,
L1_011,帮我规划一条珞珈山庄到老樱园食堂的路线,L1_simple,ok,walk,1199.8,1034.8,0.26,2.444,3.925,2.644,3.458,16.0,False,no_outside,
L1_012,武汉大学周恩来故居到武汉大学新闻与传播学院咋走,L1_simple,ok,walk,1082.1,1058.7,0.6429,3.024,3.636,3.024,3.65,14.4,False,no_outside,
L1_013,步行，帮我规划一条武汉大学工学部集贸市场到扬波门的路线,L1_simple,ok,walk,2948.4,2394.9,0.1026,2.371,3.737,2.354,3.403,39.3,True,no_outside,
L1_014,走路，弘毅门出发去武汉大学物理学院报告厅,L1_simple,ok,walk,1042.2,696.4,0.0968,2.175,3.0,2.678,3.0,13.9,False,no_outside,
L1_015,步行，农家小炒(桂园一路)出发去武汉大学电力广场,L1_simple,ok,walk,1027.4,755.6,0.0952,2.164,3.003,2.581,3.0,13.7,False,no_outside,
L1_016,帮我规划一条花焙格各音乐餐吧到茶百道(工学部店)的路线,L1_simple,ok,walk,1354.7,1182.2,0.4,2.371,3.002,2.465,3.0,18.1,False,no_outside,
L1_017,武汉大学早期建筑到武汉大学早期建筑工学院咋走,L1_simple,ok,walk,769.6,467.4,0.5714,2.129,3.662,2.513,3.0,10.3,False,no_outside,
L1_018,从库迪咖啡(信息学部店)到二号教学楼,L1_simple,ok,walk,1638.0,1536.8,0.5366,2.147,3.44,2.475,3.497,21.8,False,no_outside,
L1_019,帮我规划一条武汉大学国家文化发展研究院到茶百道(工学部店)的路线,L1_simple,ok,walk,1911.9,1794.8,0.16,2.639,3.486,2.771,3.317,25.5,False,no_outside,
L1_020,从武汉大学外国语言文学学院到武汉大学遥感信息工程学院,L1_simple,ok,walk,2523.6,2285.2,0.4444,2.109,3.417,2.337,3.321,33.6,True,no_outside,
L1_021,走路，麻烦问下达美乐比萨(枫园店)去武汉大学电子信息学院的路,L1_simple,ok,walk,1967.5,1597.2,0.386,2.859,4.113,2.35,3.618,26.2,False,no_outside,
L1_022,从小肆川(梅园店)去武汉大学人工智能学院怎么走,L1_simple,ok,walk,967.1,881.1,0.3947,3.03,3.467,2.541,3.417,12.9,False,no_outside,
L1_023,麻烦问下武汉大学文澜门去武汉大学宋卿体育馆的路,L1_simple,ok,walk,1265.7,926.9,0.4242,1.893,3.372,2.507,3.294,16.9,False,no_outside,
L1_024,步行从武汉大学教育科学学院去武汉大学电力广场怎么走,L1_simple,ok,walk,418.0,418.0,1.0,2.556,3.0,2.556,3.0,5.6,False,no_outside,
L1_025,麻烦问下朴大叔拌饭(工学部店)去武汉大学樱花大道的路,L1_simple,ok,walk,1357.1,1164.0,0.6897,2.483,3.796,2.592,3.829,18.1,False,no_outside,
L1_026,从星湖综合实验大楼到武汉大学樱花大道,L1_simple,ok,walk,2217.8,1795.4,0.3051,2.014,3.197,2.327,3.444,29.6,True,no_outside,
L1_027,帮我规划一条武汉大学田园食堂到武汉大学信息学部学生三食堂的路线,L1_simple,ok,walk,2343.0,1905.4,0.2051,1.878,3.009,2.314,3.24,31.2,True,no_outside,
L1_028,帮我规划一条武汉大学梅园食堂到瑞幸咖啡(信息学部店)的路线,L1_simple,ok,walk,1279.1,1237.7,0.3125,2.402,3.366,2.473,3.412,17.1,False,no_outside,
L1_029,走着去从煎百味(信息学部店)到武汉大学桃园教8楼的步行路线,L1_simple,ok,walk,2870.3,2130.5,0.0405,1.988,3.579,2.063,3.367,38.3,True,no_outside,
L1_030,从茶颜悦色(梅园店)到古茗(信息学部店),L1_simple,ok,walk,1242.1,1203.1,0.2889,2.417,3.445,2.515,3.409,16.6,False,no_outside,
L1_031,武汉大学电子信息学院到武汉大学足球场咋走,L1_simple,ok,walk,524.5,500.7,0.125,1.856,3.289,2.906,3.233,7.0,False,no_outside,
L1_032,走着去，帮我规划一条武汉大学信息学部学生一食堂到国立武汉大学日字斋的路线,L1_simple,ok,walk,1876.6,1693.3,0.5735,2.027,3.196,2.256,3.33,25.0,False,no_outside,
L1_033,柠季手打柠檬茶(信息学部店)到武汉大学周恩来故居咋走,L1_simple,ok,walk,1997.8,1760.7,0.3265,2.38,3.692,2.365,3.667,26.6,False,no_outside,
L1_034,从老樱园食堂去武汉大学信息学部篮球场怎么走,L1_simple,ok,walk,1790.5,1531.5,0.4706,2.328,3.34,2.87,3.797,23.9,False,no_outside,
L1_035,武汉大学信息学部学生一食堂出发去瑞幸咖啡(枫园店),L1_simple,ok,walk,2286.8,2047.1,0.4138,2.062,3.724,2.128,3.678,30.5,True,no_outside,
L2_001,从工学部体育馆到武汉大学城市设计学院，想一路看风景,L2_single_pref,ok,walk,439.1,433.9,0.5333,2.291,3.0,2.636,3.0,5.9,False,no_outside,
L2_002,帮我规划一条武汉大学足球场到信息学部清真食堂的路线，走平缓一点的路,L2_single_pref,ok,walk,1716.7,1449.4,0.4808,1.698,3.006,1.963,3.007,22.9,False,no_outside+filtered,
L2_003,麻烦问下武汉大学人文社会科学研究院去孃孃出川(枫园店)的路，膝盖不好不想爬坡,L2_single_pref,ok,walk,709.7,662.5,0.9231,1.91,3.926,1.92,3.66,9.5,False,no_outside+filtered,
L2_004,武汉大学信息学部星湖教3楼到武汉大学珞珈广场咋走，哪条路最短,L2_single_pref,ok,walk,1596.3,1293.5,0.0755,1.99,3.003,2.436,3.0,21.3,False,no_outside,
L2_005,步行从好味道粉面馆(武大店)到布咖啡(武汉大学校园店)，避开陡坡,L2_single_pref,ok,walk,688.6,640.4,0.4762,2.872,3.0,3.387,3.884,9.2,False,no_outside+filtered,
L2_006,我想从不颠哥港式甜品店(武大店)走到武汉大学早期建筑图书馆，想一路看风景,L2_single_pref,ok,walk,1355.8,767.6,0.3571,2.109,3.362,2.625,3.262,18.1,False,no_outside,
L2_007,走着去，星湖体育馆到遇见小面(工学部店)咋走，膝盖不好不想爬坡,L2_single_pref,ok,walk,3438.0,2686.9,0.0723,1.902,3.482,2.514,3.085,45.8,True,no_outside+filtered,
L2_008,走着去，麻烦问下珞珈山下文创咖啡去爷爷不泡茶(田园店)的路，走风景好的路,L2_single_pref,ok,walk,133.3,133.3,1.0,2.022,3.0,2.022,3.0,1.8,False,no_outside,
L2_009,步行，麻烦问下有家黄焖鸡(武大店)去茶颜悦色(梅园店)的路，赶时间，要最快的路线,L2_single_pref,ok,walk,635.8,635.8,0.8571,3.213,3.781,3.21,3.774,8.5,False,no_outside,
L2_010,麻烦问下武汉大学文理学部第二教学楼去武汉大学社会学院的路，赶时间，要最快的路线,L2_single_pref,ok,walk,1009.9,686.2,0.8,2.405,4.355,2.454,4.564,13.5,False,no_outside,
L2_011,走路从皇冠幸福里(工学部店)到武汉大学狮子山(樱园西路)，哪条路最短,L2_single_pref,ok,walk,918.5,800.8,0.7083,2.761,3.216,2.759,3.364,12.2,False,no_outside,
L2_012,从蜜雪冰城(枫园店)到星湖体育馆的步行路线，走风景好的路,L2_single_pref,ok,walk,2859.0,2512.7,0.1111,2.069,3.591,2.435,3.399,38.1,True,no_outside,
L2_013,走路从星湖体育馆到武汉大学老斋舍的步行路线，哪条路最短,L2_single_pref,ok,walk,1923.5,1896.3,0.8644,2.172,3.475,2.334,3.501,25.6,False,no_outside,
L2_014,从瑞幸咖啡(枫园店)到小伙计(工学部店)的步行路线，走风景好的路,L2_single_pref,ok,walk,2473.2,1924.8,0.2154,2.061,3.453,2.251,3.497,33.0,True,no_outside,
L2_015,帮我规划一条蔬三时轻食(武大校内店)到瑞幸咖啡(湖滨店)的路线，别走台阶,L2_single_pref,ok,walk,1442.4,1210.0,0.3784,2.056,3.691,2.44,3.237,19.2,False,no_outside+filtered,
L2_016,麻烦问下书亦烧仙草(工学部店)去武汉大学科学技术发展研究院的路，膝盖不好不想爬坡,L2_single_pref,ok,walk,754.7,727.1,0.7727,2.137,3.039,2.263,3.041,10.1,False,no_outside+filtered,
L2_017,武汉大学水利水电学院出发去好味道粉面馆(武大店)，走风景好的路,L2_single_pref,ok,walk,2241.4,1754.4,0.1579,2.135,3.74,3.144,3.9,29.9,True,no_outside,
L2_018,帮我规划一条星湖综合实验大楼到武汉大学信息学部2教学楼的路线，想一路看风景,L2_single_pref,ok,walk,736.2,729.6,0.7917,1.97,3.429,2.276,3.399,9.8,False,no_outside,
L2_019,从武汉大学刘少奇研究中心到蜜雪冰城(枫园店)，赶时间，要最快的路线,L2_single_pref,ok,walk,737.2,652.1,0.8125,1.873,3.399,2.132,3.451,9.8,False,no_outside,
L2_020,从武汉大学社会主义学院去武汉大学城市设计学院怎么走，赶时间，要最快的路线,L2_single_pref,ok,walk,1539.0,1403.4,0.14,1.932,3.895,2.468,3.736,20.5,False,no_outside,
L2_021,步行从武汉大学信息学部1号教学楼到茶百道(工学部店)，走风景好的路,L2_single_pref,ok,walk,2875.9,2633.3,0.4416,2.2,3.47,2.493,3.385,38.3,True,no_outside,
L2_022,从武汉大学信息学部体育馆去扬波门怎么走，挑景色漂亮的路,L2_single_pref,ok,walk,2146.2,2081.0,0.5,2.793,3.496,2.331,3.512,28.6,True,no_outside,
L2_023,工学部清真食堂出发去瑞幸咖啡(湖滨店)，不着急，慢慢走,L2_single_pref,ok,walk,339.8,339.8,1.0,2.247,3.0,2.247,3.0,4.5,False,no_outside,
L2_024,武汉大学生命科学学院出发去武汉大学信息学部图书馆，别走台阶,L2_single_pref,ok,walk,1155.6,914.9,0.6207,1.583,3.0,2.026,3.0,15.4,False,no_outside+filtered,
L2_025,走着去从秀味馄饨(工学部店)去孃孃出川(枫园店)怎么走，哪条路最短,L2_single_pref,ok,walk,2128.8,1978.5,0.2459,1.883,3.429,2.135,3.4,28.4,True,no_outside,
L2_026,走路，麻烦问下老樱园食堂去武汉大学枫园阅览室的路，想一路看风景,L2_single_pref,ok,walk,1417.9,1252.2,0.25,2.145,3.725,2.27,3.313,18.9,False,no_outside,
