id,query,category,status,mode,recommended_length_m,shortest_length_m,overlap_rate,slope_avg_recommended,scenery_avg_recommended,slope_avg_shortest,scenery_avg_shortest,duration_min,length_capped,filter_status,note
L1_001,从煎百味(信息学部店)到武汉大学化学实验教学中心的步行路线,L1_simple,ok,walk,1356.1,1356.1,1.0,2.45,3.153,2.45,3.153,18.1,False,shortest_baseline,
L1_002,武汉大学电力广场出发去重庆小面(弘毅大道店),L1_simple,ok,walk,665.7,665.7,1.0,2.131,3.0,2.131,3.0,8.9,False,shortest_baseline,
L1_003,麻烦问下洪波门去珞珈门的路,L1_simple,ok,walk,1979.3,1979.3,1.0,2.047,3.327,2.047,3.327,26.4,False,shortest_baseline,
L1_004,走着去，武汉大学高等研究院出发去三津汤包(枫园店),L1_simple,ok,walk,1498.7,1498.7,1.0,2.361,3.657,2.361,3.657,20.0,False,shortest_baseline,
L1_005,帮我规划一条重庆小面(弘毅大道店)到蔡明纬(工学部店)的路线,L1_simple,ok,walk,248.9,248.9,1.0,2.388,3.0,2.388,3.0,3.3,False,shortest_baseline,
L1_006,达美乐比萨(枫园店)出发去武汉大学樱园,L1_simple,ok,walk,1179.3,1179.3,1.0,2.42,3.672,2.42,3.672,15.7,False,shortest_baseline,
L1_007,从凌波门东湖观景点到Greenhouse花房咖啡,L1_simple,ok,walk,1849.1,1849.1,1.0,2.036,3.606,2.036,3.606,24.7,False,shortest_baseline,
L1_008,走着去，武汉大学枫园阅览室到武汉大学经济与管理学院咋走,L1_simple,ok,walk,272.6,272.6,1.0,2.601,3.0,2.601,3.0,3.6,False,shortest_baseline,
L1_009,我想从瑞幸咖啡(信息学部店)走到武汉大学物理学院报告厅,L1_simple,ok,walk,1228.9,1228.9,1.0,2.173,3.025,2.173,3.025,16.4,False,shortest_baseline,
L1_010,从恩施炕小土豆(武大店)到武汉大学教职工活动中心的步行路线,L1_simple,ok,walk,1330.1,1330.1,1.0,2.3,3.492,2.3,3.492,17.7,False,shortest_baseline,
L1_011,帮我规划一条珞珈山庄到老樱园食堂的路线,L1_simple,ok,walk,1034.8,1034.8,1.0,2.644,3.458,2.644,3.458,13.8,False,shortest_baseline,
L1_012,武汉大学周恩来故居到武汉大学新闻与传播学院咋走,L1_simple,ok,walk,1058.7,1058.7,1.0,3.024,3.65,3.024,3.65,14.1,False,shortest_baseline,
L1_013,步行，帮我规划一条武汉大学工学部集贸市场到扬波门的路线,L1_simple,ok,walk,2394.9,2394.9,1.0,2.354,3.403,2.354,3.403,31.9,False,shortest_baseline,
L1_014,走路，弘毅门出发去武汉大学物理学院报告厅,L1_simple,ok,walk,696.4,696.4,1.0,2.678,3.0,2.678,3.0,9.3,False,shortest_baseline,
L1_015,步行，农家小炒(桂园一路)出发去武汉大学电力广场,L1_simple,ok,walk,755.6,755.6,1.0,2.581,3.0,2.581,3.0,10.1,False,shortest_baseline,
L1_016,帮我规划一条花焙格各音乐餐吧到茶百道(工学部店)的路线,L1_simple,ok,walk,1182.2,1182.2,1.0,2.465,3.0,2.465,3.0,15.8,False,shortest_baseline,
L1_017,武汉大学早期建筑到武汉大学早期建筑工学院咋走,L1_simple,ok,walk,467.4,467.4,1.0,2.513,3.0,2.513,3.0,6.2,False,shortest_baseline,
L1_018,从库迪咖啡(信息学部店)到二号教学楼,L1_simple,ok,walk,1536.8,1536.8,1.0,2.475,3.497,2.475,3.497,20.5,False,shortest_baseline,
L1_019,帮我规划一条武汉大学国家文化发展研究院到茶百道(工学部店)的路线,L1_simple,ok,walk,1794.8,1794.8,1.0,2.771,3.317,2.771,3.317,23.9,False,shortest_baseline,
L1_020,从武汉大学外国语言文学学院到武汉大学遥感信息工程学院,L1_simple,ok,walk,2285.2,2285.2,1.0,2.337,3.321,2.337,3.321,30.5,False,shortest_baseline,
L1_021,走路，麻烦问下达美乐比萨(枫园店)去武汉大学电子信息学院的路,L1_simple,ok,walk,1597.2,1597.2,1.0,2.35,3.618,2.35,3.618,21.3,False,shortest_baseline,
L1_022,从小肆川(梅园店)去武汉大学人工智能学院怎么走,L1_simple,ok,walk,881.1,881.1,1.0,2.541,3.417,2.541,3.417,11.7,False,shortest_baseline,
L1_023,麻烦问下武汉大学文澜门去武汉大学宋卿体育馆的路,L1_simple,ok,walk,926.9,926.9,1.0,2.507,3.294,2.507,3.294,12.4,False,shortest_baseline,
L1_024,步行从武汉大学教育科学学院去武汉大学电力广场怎么走,L1_simple,ok,walk,418.0,418.0,1.0,2.556,3.0,2.556,3.0,5.6,False,shortest_baseline,
L1_025,麻烦问下朴大叔拌饭(工学部店)去武汉大学樱花大道的路,L1_simple,ok,walk,1164.0,1164.0,1.0,2.592,3.829,2.592,3.829,15.5,False,shortest_baseline,
L1_026,从星湖综合实验大楼到武汉大学樱花大道,L1_simple,ok,walk,1795.4,1795.4,1.0,2.327,3.444,2.327,3.444,23.9,False,shortest_baseline,
L1_027,帮我规划一条武汉大学田园食堂到武汉大学信息学部学生三食堂的路线,L1_simple,ok,walk,1905.4,1905.4,1.0,2.314,3.24,2.314,3.24,25.4,False,shortest_baseline,
L1_028,帮我规划一条武汉大学梅园食堂到瑞幸咖啡(信息学部店)的路线,L1_simple,ok,walk,1237.7,1237.7,1.0,2.473,3.412,2.473,3.412,16.5,False,shortest_baseline,
L1_029,走着去从煎百味(信息学部店)到武汉大学桃园教8楼的步行路线,L1_simple,ok,walk,2130.5,2130.5,1.0,2.063,3.367,2.063,3.367,28.4,False,shortest_baseline,
L1_030,从茶颜悦色(梅园店)到古茗(信息学部店),L1_simple,ok,walk,1203.1,1203.1,1.0,2.515,3.409,2.515,3.409,16.0,False,shortest_baseline,
L1_031,武汉大学电子信息学院到武汉大学足球场咋走,L1_simple,ok,walk,500.7,500.7,1.0,2.906,3.233,2.906,3.233,6.7,False,shortest_baseline,
L1_032,走着去，帮我规划一条武汉大学信息学部学生一食堂到国立武汉大学日字斋的路线,L1_simple,ok,walk,1693.3,1693.3,1.0,2.256,3.33,2.256,3.33,22.6,False,shortest_baseline,
L1_033,柠季手打柠檬茶(信息学部店)到武汉大学周恩来故居咋走,L1_simple,ok,walk,1760.7,1760.7,1.0,2.365,3.667,2.365,3.667,23.5,False,shortest_baseline,
L1_034,从老樱园食堂去武汉大学信息学部篮球场怎么走,L1_simple,ok,walk,1531.5,1531.5,1.0,2.87,3.797,2.87,3.797,20.4,False,shortest_baseline,
L1_035,武汉大学信息学部学生一食堂出发去瑞幸咖啡(枫园店),L1_simple,ok,walk,2047.1,2047.1,1.0,2.128,3.678,2.128,3.678,27.3,False,shortest_baseline,
