id,query,category,pred_task_type,gold_task_type,pred_start,gold_start,pred_end,gold_end,pred_constraints,gold_constraints,pred_weights,gold_weights,pred_mode,gold_mode,task_type_match
L1_001,从煎百味(信息学部店)到武汉大学化学实验教学中心的步行路线,L1_simple,path_planning,path_planning,煎百味(信息学部店),煎百味(信息学部店),武汉大学化学实验教学中心,武汉大学化学实验教学中心,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_002,武汉大学电力广场出发去重庆小面(弘毅大道店),L1_simple,path_planning,path_planning,武汉大学电力广场,武汉大学电力广场,重庆小面(弘毅大道店),重庆小面(弘毅大道店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_003,麻烦问下洪波门去珞珈门的路,L1_simple,path_planning,path_planning,洪波门,洪波门,珞珈门,珞珈门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_004,走着去，武汉大学高等研究院出发去三津汤包(枫园店),L1_simple,path_planning,path_planning,走着,武汉大学高等研究院,武汉大学高等研究院,三津汤包(枫园店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_005,帮我规划一条重庆小面(弘毅大道店)到蔡明纬(工学部店)的路线,L1_simple,path_planning,path_planning,重庆小面(弘毅大道店),重庆小面(弘毅大道店),蔡明纬(工学部店),蔡明纬(工学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_006,达美乐比萨(枫园店)出发去武汉大学樱园,L1_simple,path_planning,path_planning,达美乐比萨(枫园店),达美乐比萨(枫园店),武汉大学樱园,武汉大学樱园,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_007,从凌波门东湖观景点到Greenhouse花房咖啡,L1_simple,path_planning,path_planning,凌波门东湖观景点,凌波门东湖观景点,Greenhouse花房咖啡,Greenhouse花房咖啡,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_008,走着去，武汉大学枫园阅览室到武汉大学经济与管理学院咋走,L1_simple,path_planning,path_planning,走着,武汉大学枫园阅览室,武汉大学枫园,武汉大学经济与管理学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_009,我想从瑞幸咖啡(信息学部店)走到武汉大学物理学院报告厅,L1_simple,path_planning,path_planning,瑞幸咖啡(信息学部店),瑞幸咖啡(信息学部店),武汉大学理学院,武汉大学物理学院报告厅,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_010,从恩施炕小土豆(武大店)到武汉大学教职工活动中心的步行路线,L1_simple,path_planning,path_planning,恩施炕小土豆(武大店),恩施炕小土豆(武大店),武汉大学教职工活动中心,武汉大学教职工活动中心,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
