id,query,category,status,mode,recommended_length_m,shortest_length_m,overlap_rate,slope_avg_recommended,scenery_avg_recommended,slope_avg_shortest,scenery_avg_shortest,duration_min,length_capped,filter_status,note
L1_001,从珞珈门到樱顶,simple_path,ok,walk,1003.7,998.9,0.9032,1.942,3.474,2.038,3.519,13.4,False,no_outside,
L1_002,从梅园去图书馆,simple_path,ok,walk,266.1,266.1,1.0,3.143,3.032,3.143,3.032,3.5,False,no_outside,
L1_003,我想避开陡坡，从行政楼到枫园,single_slope,ok,walk,695.5,681.0,0.6087,2.089,3.48,2.17,3.448,9.3,False,no_outside+filtered,
L1_004,从总图书馆到凌波门，走风景好的路线,single_scenery,ok,walk,1579.5,1398.4,0.5111,2.298,4.486,2.162,3.736,21.1,False,no_outside,
L1_005,哪条路去樱顶最近,single_distance,skipped,,,,,,,,,,,,起终点缺失
L1_006,从教五到信息学部第一教学楼,simple_path,ok,walk,1621.0,1450.2,0.2889,1.814,3.036,2.318,3.034,21.6,False,no_outside,
L1_007,从牌坊骑车到樱顶,mode_bike,ok,bike,1256.1,1232.0,0.4634,1.978,3.375,2.052,3.31,5.4,False,mode_bike,
L1_008,开车从信息学部到文理学部教五,mode_drive,unreachable,,,,,,,,,,,,驾车无法到达该地点（附近可能只有步行道/台阶），建议切换骑行或步行～
L1_009,樱顶在哪里,poi_query,skipped,,,,,,,,,,,,task_type=poi_query
L1_010,你能做什么,help,skipped,,,,,,,,,,,,task_type=help
L1_011,今天天气怎么样,chat,skipped,,,,,,,,,,,,task_type=chat
L1_012,从老斋舍到宋卿体育馆，避开爬坡，走风景好的路,multi_slope_scenery,ok,walk,351.5,349.1,0.28,2.247,4.286,2.71,3.146,4.7,False,no_outside+filtered,
L1_013,从珞珈门到樱顶，走最短且避开陡坡的路,multi_distance_slope,ok,walk,1003.7,998.9,0.9032,1.942,3.474,2.038,3.519,13.4,False,no_outside+filtered,
L1_014,从珞珈门到樱花大道,edge_alias,ok,walk,845.4,840.6,0.8571,1.807,3.382,1.921,3.436,11.3,False,no_outside,
L1_015,从珞珈们到樱顶,edge_typo,ok,walk,1003.7,998.9,0.9032,1.942,3.474,2.038,3.519,13.4,False,no_outside,
L1_016,我想从洪波门走到珞瑜门,mode_walk_explicit,ok,walk,3253.2,2943.8,0.3636,2.064,3.397,2.513,3.345,43.4,True,no_outside,
L1_017,从珞珈门到樱顶，换条避开陡坡的路,multi_turn_continuation,ok,walk,1003.7,998.9,0.9032,1.942,3.474,2.038,3.519,13.4,False,no_outside+filtered,
L1_018,从工学部集贸市场到梅园,simple_path,ok,walk,1746.0,1088.9,0.2391,2.159,3.488,2.839,3.404,23.3,False,no_outside,
L1_019,万林艺术馆怎么去,poi_query,skipped,,,,,,,,,,,,task_type=poi_query
L1_020,从桂园到月湖怎么走,simple_path,ok,walk,1448.2,1434.7,0.625,2.626,3.68,2.383,4.27,19.3,False,no_outside,
